Date,Affected pages
2026-01-26,0
2026-01-27,23
2026-01-28,23
2026-01-29,23
2026-01-30,23
2026-01-31,25
2026-02-01,25
2026-02-02,25
2026-02-03,25
2026-02-04,25
2026-02-05,25
2026-02-06,25
2026-02-07,25
2026-02-08,25
2026-02-09,25
2026-02-10,25
2026-02-11,25
2026-02-12,25
2026-02-13,25
